Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,VV
HB1742,H-E,0,0,0,,,,,,,,DiC,0
HB1823,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1865,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1885,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1904,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1905,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1909,H-PS,1,0,1,S-EH,1,1,1,1,0,1,PiL,0
HB1918,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1947,H-E,0,0,0,,,,,,,,DiC,0
HB1998,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB2003,H-LC,1,0,1,S-GLT,0,0,,,,,DiC,0
HB2013,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB2019,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,
HB2027,H-E;H-A,1,0,1,S-EH;S-FA,1,1,0,1,0,1,PiL,0
HB2094,H-E,0,0,0,,,,,,,,DiC,0
HB2105,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB2119,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB2135,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB2184,H-E,0,0,0,,,,,,,,DiC,0
HB2211,H-E,0,1,0,,,,,,,,,0
HB2244,H-R,0,0,0,,,,,,,,DiC,0
HB2247,H-E,0,0,0,,,,,,,,DiC,0
HB2277,H-E;H-A,0,0,0,,,,,,,,DiC,0
HB2299,H-E;H-A,1,0,1,S-EH,1,1,1,1,0,1,PiL,0
HB2316,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HJ548,H-PE,0,0,0,,,,,,,,DiC,0
HJ549,H-R,1,0,1,S-R,0,0,,,,,DiC,0
SB1169,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0
SB1190,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0
SB1196,S-EH;S-FA,1,0,1,H-E,1,1,0,1,0,1,PiL,0
SB1225,S-CL;S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0
SB1238,S-EH,0,0,0,,,,,,,,DiC,0
SB1257,S-EH;S-FA,1,0,1,H-E,1,1,1,1,0,1,PiL,0
SB1288,S-EH,1,0,1,H-E;H-A,1,1,1,1,0,1,PiL,0
SB1303,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0
SB1317,S-EH,0,0,0,,,,,,,,DiC,0
SB1322,S-EH,1,0,1,H-E,1,1,1,1,0,1,PiL,0
SB1357,S-EH;S-FA,1,0,1,H-E;H-A,1,1,1,1,0,1,PiL,0
SB1401,S-EH;S-FA,1,0,1,H-E,0,0,,,,,DiC,0
SB1434,S-EH,0,0,0,,,,,,,,DiC,0
SJ275,S-PE,1,0,1,H-PE,0,0,,,,,DiC,0
SJ308,S-E,1,0,1,H-R,1,1,,,,,PiL,0
