Bill,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,Sponsor
HB2,1,H-CL,1,0,1,S-ACNR;S-F,1,1,0,1,1,0,V,O'Quinn
HB23,0,H-F,1,0,1,S-F,1,1,0,1,0,1,PiL,Farrell
HB80,0,H-F,1,0,1,S-F,1,1,0,1,0,1,PiL,Byron
HB120,0,H-F,0,0,,,,,,,,0,DiC,R_G_Marshall
HB121,0,H-F,0,0,,,,,,,,0,DiC,R_G_Marshall
HB283,0,H-CL,1,0,1,S-CL,1,1,0,1,0,1,PiL,Minchew
HB351,1,H-CL,0,0,,,,,,,,0,DiC,Villaneuva
HB352,1,H-CL,0,0,,,,,,,,0,DiC,Ware
HB444,1,H-CL,1,0,1,S-CL,1,1,0,1,0,1,PiL,Loupassi
HB445,0,H-F,0,0,,,,,,,,0,DiC,Kory
HB448,1,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL,Kirkland Cox 
HB452,1,H-CL,0,0,,,,,,,,0,DiC,Hope
HB480,1,H-F,0,0,,,,,,,,0,DiC,Sullivan Jr.
HB493,1,H-A,0,0,,,,,,,,0,DiC,Sullivan Jr.
HB533,0,H-CL,0,0,,,,,,,,0,DiC,J_J_Bell
HB575,1,H-CL,0,0,,,,,,,,0,DiC,Sullivan Jr.
HB576,1,H-CL,0,0,,,,,,,,0,DiC,Sullivan Jr.
HB618,1,H-CL,0,0,,,,,,,,0,DiC,Krizek 
HB638,1,H-E,0,0,,,,,,,,0,DiC,J_J_Bell
HB647,0,H-CCT,1,0,1,S-LG,1,1,0,1,0,1,PiL,Sullivan Jr.
HB762,1,H-CL,0,0,,,,,,,,0,DiC,Freitas
HB883,0,H-CCT,1,0,1,S-LG,1,1,1,1,0,1,PiL,Habeeb
HB908,1,H-CL,0,0,,,,,,,,0,DiC,Minchew
HB941,1,H-CCT,0,0,,,,,,,,0,DiC,Toscano
