Bill,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition
HJ527  ,1,H-R,1,0,1,S-R,1,1,1,,,1,JRP
HJ538 ,1,H-R,1,0,1,S-R,1,1,1,,,1,JRP
HJ539 ,1,H-PE,0,1,,,,,,,,0,Inc
HJ542,1,H-R; H-A,1,0,1,S-R; S-FA,1,1,1,,,1,JRP
HJ546 ,1,H-PE,0,1,,,,,,,,0,Inc
HJ555  ,1,H-PE,1,0,1,S-PE,1,1,1,,,1,JRP
HJ556 ,1,H-PE,0,0,,,,,,,,0,DiC
HJ557,1,H-PE,0,1,,,,,,,,0,Inc
HJ559,1,H-R,0,0,,,,,,,,0,DiC
HJ564 ,1,H-R,0,0,,,,,,,,0,DiC
HJ582 ,1,H-PE,1,0,1,S-PE,1,1,0,,,1,JRP
HB1755 ,1,H-LC,0,0,,,,,,,,0,DiC
HB1756 ,1,H-PE,0,0,,,,,,,,0,DiC
HB1811,1,H-GL,1,0,1,S-GL,1,1,1,1,0,1,PiL
HB1819 ,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB1834,1,H-LC,1,0,1,S-CL,1,1,1,1,0,1,PiL
HB1835 ,1,H-LC,0,1,,,,,,,,0,Inc
HB1888 ,1,H-PE,1,0,1,S-PE,1,1,1,1,0,1,PiL
HB1890  ,1,H-PE,1,0,1,S-PE; S-FA,1,1,0,1,1,1,PiL
HB1902,1,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL
HB1914 ,1,H-LC,1,0,1,S-CL,0,,,,,0,DiC
HB1919 ,1,H-CCT,1,0,1,S-LG,1,1,1,1,0,1,PiL
HB1925,1,H-LC,1,0,1,S-CL; S-FA,1,1,0,1,0,1,PiL
HB1933 ,1,H-PE,0,0,,,,,,,,0,DiC
HB1934,1,H-LC,0,0,,,,,,,,0,DiC
HB1937 ,1,H-LC,0,0,,,,,,,,0,DiC
HB1952 ,1,H-PE,1,0,1,S-PE,1,0,,,,0,DiC
HB1958,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
